file,text,taxa,prob
1-s2.0-S0167880912003271-main.pdf,Voles,mole voles,0.8012898564338684
1-s2.0-S0167880912003271-main.pdf,ponies,conies,0.7012152075767517
1-s2.0-S0167880912003271-main.pdf,Equus ferus caballus,Equus caballus ferus,1
1-s2.0-S0167880912003271-main.pdf,Bos taurus,Bos taurus,1
1-s2.0-S0167880912003271-main.pdf,Oryctolagus cuniculus,Oryctolagus cuniculus,1
1-s2.0-S0167880912003271-main.pdf,Festuca rubra - Galium,Festuca rubra,0.7950738668441772
1-s2.0-S0167880912003271-main.pdf,ﬁeld voles,field vole,0.748085081577301
1-s2.0-S0167880912003271-main.pdf,Microtus agrestis,Microtus agrestis,0.9999998807907104
1-s2.0-S0167880912003271-main.pdf,pony & rabbit,rabbit,0.7945402264595032
1-s2.0-S0167880912003271-main.pdf,pony,sea pony,0.8171203136444092
1-s2.0-S0167880912003271-main.pdf,rabbit,rabbit,1
1-s2.0-S0167880912003271-main.pdf,Diptera,Diptera,0.9999999403953552
1-s2.0-S0167880912003271-main.pdf,Hymenoptera,Hymenoptera,0.9999998807907104
1-s2.0-S0167880912003271-main.pdf,Graminoid,C. graminoides,0.7586771845817566
1-s2.0-S0167880912003271-main.pdf,carabids,fabids,0.716761589050293
1-s2.0-S0167880912003271-main.pdf,Staphylinidae,Staphylinidae,1
1-s2.0-S0167880912003271-main.pdf,bee,bee,1
1-s2.0-S0167880912003271-main.pdf,Coleoptera,Coleoptera,1
1-s2.0-S0167880912003271-main.pdf,Araneae,Araneae,1
1-s2.0-S0167880912003271-main.pdf,Colletes cunicularius,Colletes cunicularius,0.9999999403953552
1-s2.0-S0167880912003271-main.pdf,Amara lucida,Amara lucida,0.9999998807907104
1-s2.0-S0167880912003271-main.pdf,Mycetoporus piceolus,Mycetoporus,0.7291374206542969
1-s2.0-S0167880912003271-main.pdf,Linyphiidae,Linyphiidae,1
1-s2.0-S0167880912003271-main.pdf,Mecopisthes peusi,Mecopisthes,0.8057234287261963
1-s2.0-S0167880912003271-main.pdf,C. cunicularius,Colletes cunicularius,0.9999999403953552
1-s2.0-S0167880912003271-main.pdf,A. lucida,Amara lucida,0.9999998807907104
1-s2.0-S0167880912003271-main.pdf,rove beetle,rove beetles,0.9283584356307983
1-s2.0-S0167880912003271-main.pdf,bumble bees,bumble bees,1
1-s2.0-S0167880912003271-main.pdf,Alauda arvensis,Alauda arvensis,1
1-s2.0-S0167880912003271-main.pdf,natterjack toad,natterjack toad,0.9999999403953552
1-s2.0-S0167880912003271-main.pdf,Epidalea calamita,Epidalea calamita,0.9999999403953552
1-s2.0-S0167880912003271-main.pdf,Arrhenatherum elatius,Arrhenatherum elatius,1
1-s2.0-S0167880912003271-main.pdf,Sheep,sheep,1
1-s2.0-S0167880912003271-main.pdf,"Sutton, P.",P. suttoni,0.8082212209701538
1-s2.0-S0167880912003271-main.pdf,Herbivores,Herbivorax,0.7778589129447937
1-s2.0-S0167880912003271-main.pdf,Bullock,Bullockia,0.7354186773300171
1-s2.0-S0167880912003271-main.pdf,Jefferson,Jeffersonia,0.9188323020935059
1-s2.0-S0167880912003271-main.pdf,Bird,bird mites,0.7739393711090088
1-s2.0-S0167880912003271-main.pdf,Insect,Insecta,0.7312411069869995
1-s2.0-S0167880912003271-main.pdf,Cooper,Cooperia,0.882248044013977
1-s2.0-S0167880912003271-main.pdf,Everard,Everardia,0.7852921485900879
1-s2.0-S0167880912003271-main.pdf,Russelle,D. russelli russelli,0.7325776219367981
1-s2.0-S0167880912003271-main.pdf,insects,insects,1
1-s2.0-S0167880914000309-main.pdf,ponies,conies,0.7012152075767517
1-s2.0-S0167880914000309-main.pdf,cattle,cattle,1
